"Kota","Tanggal","Kategori","SubKategori","Rating.round","Keterangan","UnitTerjual_sum","UnitTerjual_mean","Harga_sum","Harga_mean","Diskon_sum","Diskon_mean","OmsetPenjualan_sum","OmsetPenjualan_mean","jumlahProduk"
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","3","Grosir",92,18.4,110900,22180,0,0,2214200,442840,5
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","3","None",194,8.81818181818182,1142100,51913.6363636364,0,0,3218900,146313.636363636,22
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","4","Grosir",10800,263.414634146341,954350,23276.8292682927,0,0,259775000,6335975.6097561,41
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","4","None",9870,80.2439024390244,6190610,50330.162601626,1.88,0.0152845528455285,113837770,925510.325203252,123
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","5","Grosir",46496,233.64824120603,5981169,30056.1256281407,0,0,844206624,4242244.34170854,199
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Peci","5","None",59805,83.9957865168539,35117979,49323.0042134831,1.88,0.00264044943820225,1396392123,1961224.89185393,712
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","1","None",1,1,245000,245000,0,0,245000,245000,1
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","3","None",6,2,170900,56966.6666666667,0,0,282700,94233.3333333333,3
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","4","Grosir",134,19.1428571428571,613140,87591.4285714286,0,0,5045520,720788.571428571,7
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","4","None",434,16.6923076923077,1449679,55756.8846153846,0,0,15414959,592883.038461538,26
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","5","Grosir",2585,117.5,1151500,52340.9090909091,0,0,57105800,2595718.18181818,22
"Jakarta Barat","07/05/2021","Pakaian Muslim Pria","Sorban","5","None",2610,26.9072164948454,8017595,82655.618556701,0,0,156855066,1617062.53608247,97
